Countries,Points,After manual modification for NaNs
Algeria,12,12
Djibouti,1,1
Niger,5,5
Burkina Faso,4,10
Tunisia,12,12
Equatorial Guinea,4,4
Mauritania,2,2
Zambia,10,10
Nigeria,6,12
Liberia,9,9
Central African Republic,2,2
Cape Verde,5,5
Cameroon,10,10
Malawi,2,2
Mozambique,5,5
Ivory Coast,9,9
Mali,6,6
Rwanda,6,6
Kenya,8,8
Uganda,5,5
Egypt,12,12
Angola,7,7
Libya,4,4
Gabon,3,3
Ghana,12,12
Ethiopia,7,7
Zimbabwe,2,2
South Africa,8,8
Senegal,12,12
Togo,5,5
Namibia,5,5
Congo,8,8
Morocco,6,12
Sudan,2,2
Guinea-Bissau,4,4
Guinea,10,10
DR Congo,10,10
Tanzania,8,8
Madagascar,2,2
Benin,7,7
