Date,Day,K.O. CET,Group,Home,Away,,
Oct. 7,TBD,,,Uruguay,Colombia,,
Oct. 7,TBD,,,Ecuador,Bolivia,,
Oct. 7,TBD,,,Venezuela,Brazil,,
Oct. 7,TBD,,,Peru,Chile,,
Oct. 7,TBD,,,Paraguay,Argentina,,
Oct. 10,TBD,,,Argentina,Uruguay,,
Oct. 10,TBD,,,Colombia,Brazil,,
Oct. 10,TBD,,,Venezuela,Ecuador,,
Oct. 10,TBD,,,Chile,Paraguay,,
Oct. 10,TBD,,,Bolivia,Peru,,
Oct. 14,TBD,,,Colombia,Ecuador,,
Oct. 14,TBD,,,Bolivia,Paraguay,,
Oct. 14,TBD,,,Brazil,Uruguay,,
Oct. 14,TBD,,,Argentina,Peru,,
Oct. 14,TBD,,,Chile,Venezuela,,
Nov. 11,TBD,,,Brazil,Colombia,,
Nov. 11,TBD,,,Ecuador,Venezuela,,
Nov. 11,TBD,,,Paraguay,Chile,,
Nov. 11,TBD,,,Peru,Bolivia,,
Nov. 11,TBD,,,Uruguay,Argentina,,
Nov. 16,TBD,,,Argentina,Brazil,,
Nov. 16,TBD,,,Bolivia,Uruguay,,
Nov. 16,TBD,,,Chile,Ecuador,,
Nov. 16,TBD,,,Colombia,Paraguay,,
Nov. 16,TBD,,,Venezuela,Peru,,
"Jan. 27, 2022",TBD,,,Chile,Argentina,,
"Jan. 27, 2022",TBD,,,Colombia,Peru,,
"Jan. 27, 2022",TBD,,,Ecuador,Brazil,,
"Jan. 27, 2022",TBD,,,Paraguay,Uruguay,,
"Jan. 27, 2022",TBD,,,Venezuela,Bolivia,,
"Feb. 1, 2022",TBD,,,Argentina,Colombia,,
"Feb. 1, 2022",TBD,,,Bolivia,Chile,,
"Feb. 1, 2022",TBD,,,Brazil,Paraguay,,
"Feb. 1, 2022",TBD,,,Peru,Ecuador,,
"Feb. 1, 2022",TBD,,,Uruguay,Venezuela,,
"March 24, 2022",TBD,,,Argentina,Venezuela,,
"March 24, 2022",TBD,,,Brazil,Chile,,
"March 24, 2022",TBD,,,Colombia,Bolivia,,
"March 24, 2022",TBD,,,Paraguay,Ecuador,,
"March 24, 2022",TBD,,,Uruguay,Peru,,
"March 29, 2022",TBD,,,Bolivia,Brazil,,
"March 29, 2022",TBD,,,Chile,Uruguay,,
"March 29, 2022",TBD,,,Ecuador,Argentina,,
"March 29, 2022",TBD,,,Peru,Paraguay,,
"March 29, 2022",TBD,,,Venezuela,Colombia,,
