Countries,Points,
Albania,5,5
Andorra,4,4
Armenia,7,7
Austria,10,10
Azerbaijan,2,5
Belarus,2,2
Belgium,6,6
Bosnia and Herzegovina,3,4
Bulgaria,5,5
Croatia,10,12
Cyprus,2,2
Czech Republic,9,9
Denmark,12,12
England,12,12
Estonia,5,5
Faroe Islands,2,2
Finland,6,3
France,6,6
Georgia,1,1
Germany,12,9
Gibraltar,2,2
Greece,6,6
Hungary,8,8
Iceland,5,5
Israel,8,8
Italy,6,6
Kazakhstan,1,1
Kosovo,5,5
Latvia,4,4
Liechtenstein,2,2
Lithuania,1,1
Luxembourg,1,2
Malta,3,3
Moldova,2,2
Montenegro,4,5
Netherlands,12,12
North Macedonia,7,8
Northern Ireland,4,4
Norway,10,10
Poland,12,12
Portugal,9,9
Republic of Ireland,6,1
Romania,10,10
Russia,9,7
San Marino,2,2
Scotland,9,9
Serbia,7,7
Slovakia,5,5
Slovenia,9,10
Spain,6,6
Sweden,8,8
Switzerland,10,10
Turkey,9,6
Ukraine,3,3
Wales,7,7
