Algeria,4
Angola,1
Argentina,11
Australia,5
Austria,4
Belgium,8
Bolivia,1
Bosnia and Herzegovina,1
Brazil,11
Bulgaria,4
Cameroon,7
Canada,1
Chile,5
China,1
Colombia,5
Costa Rica,5
Croatia,5
Czech Republic,1
Czechoslovakia,2
Denmark,5
Ecuador,3
Egypt,2
El Salvador,1
England,9
France,8
Germany,11
Ghana,3
Greece,3
Haiti,1
Honduras,3
Hungary,3
Iceland,1
Iran,5
Iraq,1
Italy,10
Ivory Coast,3
Jamaica,1
Japan,5
Kuwait,1
Mexico,8
Morocco,4
Netherlands,8
New Zealand,2
Nigeria,6
North Korea,1
Northern Ireland,2
Norway,2
Panama,1
Paraguay,5
Peru,3
Poland,7
Portugal,6
Republic of Ireland,3
Romania,3
Russia,3
Saudi Arabia,5
Scotland,6
Senegal,2
Serbia,2
Slovakia,1
Slovenia,2
South Africa,2
South Korea,8
Soviet Union,3
Spain,10
Sweden,7
Switzerland,5
Togo,1
Trinidad and Tobago,1
Tunisia,5
Turkey,1
Ukraine,1
United Arab Emirates,1
United States,6
Uruguay,7
Yugoslavia,5
Zaire,1
